rank,university,city,
447,Professor Jayashankar Telangana State Agricultural University,Hyderabad,5
248,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak,3
170,Punjab Agricultural University,Ludhiana,3
162,Punjab Technical University,Kapurthala,3
157,Punjabi University,Patiala,3
748,Quantum University,Roorkee,6
383,Rabindra Bharati University,Kolkata,4
710,Raffles University,Neemrana,6
792,Rai Technology University,Doddaballapura,6
487,Rai University,Dholka,5
725,Raiganj University,Raiganj,6
536,Raj Rishi Bharthari Matsya University,Alwar,6
801,Raja Mansingh Tomar Music and Arts University,Gwalior,6
141,Rajasthan Technical University Kota,Kota,3
256,Rajasthan University of Health Sciences,Jaipur,3
406,Rajasthan University of Veterinary and Animal Sciences,Bikaner,4
395,Rajiv Gandhi Institute of Petroleum Technology,Raebareli,4
863,Rajiv Gandhi National Aviation University,Raebareli,6
362,Rajiv Gandhi National Institute of Youth Development,Sriperumbudur,4
462,Rajiv Gandhi National University of Law,Patiala,5
38,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal ...,2
342,Rajiv Gandhi University,Itanagar,4
165,Rajiv Gandhi University of Health Sciences,Bangalore,3
198,Rajiv Gandhi University of Knowledge Technologies,Hyderabad,3
618,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,Gwalior,6
704,Raksha Shakti University,Ahmedabad,6
803,Rama Devi Women's University,Bhubaneswar,6
638,Rama University,Kanpur,6
483,Ramakrishna Mission Vivekananda University,Belur ...,5
404,Ranchi University,Ranchi,4
449,"Rani Channamma University, Belagavi",Belagavi,5
237,Rani Durgavati Vishwavidyalaya,Jabalpur,3
770,Rani Lakshmi Bai Central Agricultural University,Jhansi,6
853,Ras Bihari Bose Subharti University,Dehradun,6
166,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,3
265,Rashtriya Sanskrit Sansthan University,New Delhi,3
460,Rashtriya Sanskrit Vidyapeetha,Tirupati,5
392,Ravenshaw University,Cuttack,4
305,Rayalaseema University,Kurnool,3
718,Rayat-Bahra University,Kharar,6
424,REVA University,Bangalore,5
660,RIMT University,Mandi Gobindgarh,6
366,RK University,Rajkot,4
621,RKDF University,Bhopal,6
684,Sai Nath University,Ranchi,6
857,Sai Tirupati University,Udaipur,6
419,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Allahabad,4
330,Sambalpur University,Burla,4
315,Sampurnanand Sanskrit Vishvavidyalaya,Varanasi,4
764,Sanchi University of Buddhist-Indic Studies,Sanchi,6
677,Sandip University,Mahiravani,6
883,"Sandip University, Sijoul",Sijoul,6
834,Sangai International University,Churachandpur,6
739,Sangam University,Bhilwara,6
243,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow,3
851,Sanjay Ghodawat University,Kolhapur,6
842,Sankalchand Patel University,Visnagar,6
671,Sanskriti University,Mathura,6
819,Sant Baba Bhag Singh University,Jalandhar,6
212,Sant Gadge Baba Amravati University,Amravati,3
352,Sant Longowal Institute of Engineering and Technology,Sangrur,4
546,Santosh University,Ghaziabad,6
180,Sardar Patel University,Vallabh Vidyanagar,3
336,"Sardar Patel University of Police, Security and Criminal Justice",Jodhpur,4
129,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,3
580,Sardar Vallabhbhai Patel University of Agriculture and Technology,Meerut,6
349,Sardarkrushinagar Dantiwada Agricultural University,Palanpur,4
505,Sarguja University,Ambikapur,5
884,Sarla Birla University,Ranchi,6
793,Sarvepalli Radhakrishnan University,Bhopal,6
76,SASTRA University,Thanjavur ...,2
504,Satavahana University,Karimnagar,5
351,Sathyabama University,Chennai,2
108,Saurashtra University,Rajkot,3
312,Saveetha University,Chennai,4
10,Savitribai Phule Pune University,Pune,2
442,"School of Planning and Architecture, Bhopal",Bhopal,5
350,"School of Planning and Architecture, Delhi",New Delhi,4
488,"School of Planning and Architecture, Vijayawada",Vijayawada,5
808,Seacom Skills University,Santiniketan,6
160,Sharda University,Greater Noida,2
871,Sharnbasva University,Gulbarga,6
550,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu,6
329,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar,4
359,Sher-i-Kashmir Institute of Medical Sciences,Srinagar,4
153,Shiv Nadar University,Dadri,3
86,Shivaji University,Kolhapur,2
414,Shobhit University,Meerut,5
448,Shoolini University of Biotechnology and Management Sciences,Solan,5
500,Shree Guru Gobind Singh Tricentenary University,Gurgaon,5
658,Shree Somnath Sanskrit University,Veraval,6
378,Shreemati Nathibai Damodar Thackersey Women's University,Mumbai,4
726,Shri Govind Guru University,Godhra,6
846,Shri Guru Ram Rai Education Mission,Dehradun ...,6
869,Shri Guru Ram Rai University,Dehradun,6
654,Shri Jagannath Sanskrit Vishvavidyalaya,Puri,6
584,Shri Jagdishprasad Jhabrmal Tibrewala University,Jhunjhunu,6
463,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,New Delhi,5
215,Shri Mata Vaishno Devi University,Katra,3
647,Shri Ramswaroop Memorial University,Barabanki,6
703,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore,6
694,Shri Venkateshwara University,Gajraula,6
724,Shridhar University,Pilani,6
626,Siddharth University,Kapilvastu,6
519,Sidho Kanho Birsha University,Purulia ...,6
624,Sido Kanhu Murmu University,Dumka,6
214,Sikkim Manipal University,Gangtok,3
308,Sikkim University,Tadong,4
379,Siksha O Anusandhan University,Bhubaneswar,4
420,Singhania University,Jhunjhunu,5
601,Sir Padampat Singhania University,Udaipur,6
225,South Asian University,New Delhi,3
791,Spicer Adventist University,Pune,6
192,Sree Chitra Thirunal Institute of Medical Sciences and Technology,Thiruvananthapuram,3
531,Sree Sankaracharya University of Sanskrit,Kalady,6
588,Sri Balaji Vidyapeeth,Puducherry,6
384,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram,4
456,Sri Dev Suman Uttarakhand University,Tehri,5
712,Sri Devaraj Urs Academy of Higher Education and Research,Kolar,6
664,Sri Guru Granth Sahib World University,Fatehgarh Sahib,6
856,Sri Guru Ram Das University of Health Sciences,Qila Jiwan Singh,6
797,Sri Konda Laxman Telangana State Horticultural University,Hyderabad,6
313,Sri Krishnadevaraya University,Anantapur ...,4
421,Sri Padmavati Mahila Visvavidyalayam,Tirupati,5
281,Sri Ramachandra University,Chennai,3
765,Sri Sai University,Palampur,6
417,Sri Sathya Sai Institute of Higher Learning,Anantapur,5
632,Sri Satya Sai University of Technology and Medical Sciences,Sehore,6
682,Sri Siddhartha Academy of Higher Education,Tumkur,6
573,Sri Sri University,Cuttack,6
402,Sri Venkateswara Institute of Medical Sciences,Tirupati,5
190,Sri Venkateswara University,Tirupati,3
709,Sri Venkateswara Vedic University,Tirupati,6
574,Sri Venkateswara Veterinary University,Tirupati,6
593,Srimanta Sankaradeva University of Health Sciences,Guwahati,6
813,Srinivas University,Mangalore,6
12,SRM Institute of Science and Technology,Chennai,2
553,SRM University Haryana,Sonipat,6
758,"SRM University, Sikkim",Gangtok,6
865,St. Joseph University,Dimapur,6
630,St. Peter's University,Chennai,6
788,St. Xavier's University,Kolkata,6
826,Starex University,Gurgaon,6
785,State University of Performing and Visual Arts,Rohtak,6
782,Suamandeep Vidyapeeth,Vadodara,6
564,Sunrise University,Alwar ...,6
457,Suresh Gyan Vihar University,Jaipur,5
470,Swami Keshwanand Rajasthan Agricultural University,Bikaner,5
538,Swami Rama Himalayan University,Dehradun,6
181,Swami Ramanand Teerth Marathwada University,Nanded,3
458,Swami Vivekanand Subharti University,Meerut,5
744,Swami Vivekanand University,Sagar,6
400,Swami Vivekananda Yoga Anusandhana Samsthana,Bangalore,4
689,Swarnim Gujarat Sports University,Gandhinagar,6
843,Swarnim Startup and Innovation University,Gandhinagar,6
167,Symbiosis International University,Pune,3
666,Symbiosis University of Applied Sciences,Indore,6
32,Tamil Nadu Agricultural University,Coimbatore ...,2
430,Tamil Nadu Dr Ambedkar Law University,Chennai,5
249,Tamil Nadu Dr. M.G.R.Medical University,Chennai,3
515,Tamil Nadu Fisheries University,Nagapattinam,6
866,Tamil Nadu Music and Fine Arts University,Chennai,6
656,Tamil Nadu National Law School,Tiruchirappalli,6
575,Tamil Nadu Physical Education and Sports University,Chennai,6
334,Tamil Nadu Teacher Education University,Chennai,4
276,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...,3
435,Tamil University,Thanjavur,5
735,Tantia University,Sri Ganganagar,6
25,Tata Institute of Fundamental Research,Mumbai,2
21,Tata Institute of Social Sciences,Mumbai,2
821,TeamLease Skills University,Tarsali,6
702,Techno India University,Kolkata,6
380,Teerthanker Mahaveer University,Moradabad,4
479,Telangana University,Nizamabad,5
257,TERI University,New Delhi,3
40,Tezpur University,Tezpur,2
81,Thapar Institute of Engineering and Technology,Patiala,1
297,The English and Foreign Languages University,Hyderabad,3
495,The IIS University,Jaipur,5
399,The Indian Law Institute,New Delhi,4
286,The LNM Institute of Information Technology,Jaipur,3
121,The Maharaja Sayajirao University of Baroda,Vadodara,3
554,The National University of Advanced Legal Studies,Kochi,6
778,The Neotia University,Sarisha,6
217,The Northcap University,Gurgaon ...,3
850,The Sanskrit College and University,Kolkata,6
191,The West Bengal National University of Juridical Sciences,Kolkata,3
510,Thiruvalluvar University,Vellore,5
695,Thunchath Ezhuthachan Malayalam University,Tirur,6
368,Tilak Maharashtra Vidyapeeth,Pune,4
376,Tilka Manjhi Bhagalpur University,Bhagalpur,4
657,TransDisciplinary University,Bangalore,6
236,Tripura University,Agartala,3
517,Tumkur University,Tumkur,6
663,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan,Mathura,6
429,UKA Tarsadia University,Surat,5
730,"University of Agricultural and Horticultural Sciences, Shivamogga",Shimoga,6
302,"University of Agricultural Sciences, Bangalore",Bangalore ...,3
411,"University of Agricultural Sciences, Dharwad",Dharwad,5
661,"University of Agricultural Sciences, Raichur",Raichur,6
115,University of Allahabad,Allahabad,3
89,University of Burdwan,Bardhaman,2
68,University of Calcutta,Kolkata,2
35,University of Calicut,Tenhipalam ...,2
4,University of Delhi,New Delhi,2
535,"University of Engineering and Management, Kolkata",Kolkata,6
261,University of Gour Banga,Malda,3
610,"University of Horticultural Sciences, Bagalkot",Bagalkot ...,6
73,University of Hyderabad,Hyderabad,2
203,University of Jammu,Jammu,3
134,University of Kalyani,Kalyani,3
124,University of Kashmir,Srinagar,3
60,University of Kerala,Thiruvananthapuram,2
282,University of Kota,Kota,3
105,University of Lucknow,Lucknow,3
69,University of Madras,Chennai,2
19,University of Mumbai,Mumbai,2
43,University of Mysore,Mysore ...,2
208,University of North Bengal,Siliguri,3
680,University of Patanjali,Haridwar,6
26,University of Petroleum and Energy Studies,Dehradun,2
34,University of Rajasthan,Jaipur,2
667,"University of Science and Technology, Meghalaya",Baridua,6
250,University of Solapur,Solapur,3
752,University of Technology,Jaipur,6
641,University of Technology and Management,Shillong,6
848,Usha Martin University,Ranchi,6
321,Utkal University,Bhubaneswar,4
690,Utkal University of Culture,Bhubaneswar,6
617,Uttar Banga Krishi Viswavidyalaya,Pundibari,6
774,Uttar Pradesh University of Medical Sciences,Saifai,6
867,Uttarakhand Aawasiya Vishwavidyalaya,Almora,6
492,Uttarakhand Ayurved University,Dehradun,5
284,Uttarakhand Technical University,Dehradun,3
629,Uttarakhand University of Horticulture and Forestry,Bharsar,6
669,Uttaranchal Sanskrit University,Haridwar,6
568,Uttaranchal University,Dehradun,6
426,Vasantrao Naik Marathwada Krishi Vidyapeeth,Parbhani ...,5
213,Veer Bahadur Singh Purvanchal University,Jaunpur,3
562,Veer Kunwar Singh University,Arrah,6
110,Veer Narmad South Gujarat University,Surat,3
178,Veer Surendra Sai University of Technology,Sambalpur,3
345,Vel Tech Dr.RR and Dr.SR Technical University,Chennai ...,4
407,Vels University,Chennai,4
189,Vidyasagar University,Midnapore,3
343,Vignan University,Guntur,4
537,Vijayanagara Sri Krishnadevaraya University,Bellary,6
333,Vikram University,Ujjain,4
348,Vikrama Simhapuri University,Nellore,4
777,Vinayaka Missions Sikkim University,Gangtok,6
299,Vinayaka Missions University,Salem,3
301,Vinoba Bhave University,Hazaribag,4
750,Vishwakarma University,Pune,6
126,Visva-Bharati University,Santiniketan,3
122,Visvesvaraya National Institute of Technology,Nagpur,2
23,Visvesvaraya Technological University,Belgaum,2
734,VIT Bhopal University,Bhopal,6
6,VIT University,Vellore,1
605,Vivekananda Global University,Jaipur,6
388,West Bengal State University,Barasat,4
583,West Bengal University of Animal and Fishery Sciences,Kolkata,6
459,West Bengal University of Health Sciences,Kolkata,5
512,"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata,5
809,"William Carey University, India",Shillong,6
831,"William Carey University, Meghalaya",Shillong,6
291,Xavier University Bhubaneswar,Harirajpur,3
873,YBN University,Ranchi,6
498,Yenepoya University,Mangalore,5
364,YMCA University of Science and Technology,Faridabad,4
408,Yogi Vemana University,Kadapa,4
